Region report						
Network name: APOE-4_4						
Region Name	Degree	Clustering Coefficient	Betweenness Centrality	Module	Regional Efficiency	Participation Coefficient
'left thalamus'	0.146788990826	0.575	0.00501314265953	0	0.556574923547	0.5390625
'left caudate'	0.192660550459	0.452380952381	0.00811480016235	0	0.591743119266	0.458049886621
'left putamen'	0.302752293578	0.399621212121	0.035458455465	0	0.642201834862	0.519742883379
'left pallidum'	0.238532110092	0.516923076923	0.00909772331042	0	0.603975535168	0.387573964497
'left hippocampus'	0.449541284404	0.31887755102	0.0887961662501	0	0.724770642202	0.689712619742
'left amygdala'	0.321100917431	0.448739495798	0.0181769964743	0	0.660550458716	0.654693877551
'left accumbens'	0.045871559633	0.7	8,24E+05	0	0.432721712538	0.0
'right thalamus'	0.275229357798	0.425287356322	0.0160598901876	0	0.628440366972	0.522222222222
'right caudate'	0.137614678899	0.638095238095	0.00153534201143	0	0.524464831804	0.24
'right putamen'	0.238532110092	0.427692307692	0.0110498488145	0	0.594801223242	0.328402366864
'right pallidum'	0.155963302752	0.602941176471	0.00175264144538	0	0.515290519878	0.207612456747
'right hippocampus'	0.403669724771	0.395348837209	0.0328133022866	0	0.701834862385	0.606404958678
'right amygdala'	0.256880733945	0.531746031746	0.00717186298562	0	0.600917431193	0.426020408163
'right accumbens'	0.0642201834862	0.857142857143	7,38E+06	0	0.454128440367	0.0
'left frontal pole'	0.211009174312	0.509881422925	0.00980470737741	1	0.576452599388	0.540642722117
'right frontal pole'	0.266055045872	0.43842364532	0.0135339587827	0	0.603975535168	0.546967895363
'left insular cortex'	0.311926605505	0.483065953654	0.0168248591498	1	0.628440366972	0.442906574394
'right insular cortex'	0.302752293578	0.422348484848	0.0177525304281	2	0.61620795107	0.550964187328
'left superior frontal gyrus'	0.229357798165	0.54	0.0067130127302	0	0.593272171254	0.5504
'right superior frontal gyrus'	0.284403669725	0.477419354839	0.0239349932788	0	0.640672782875	0.578563995838
'left middle frontal gyrus'	0.128440366972	0.692307692308	0.000637916732507	1	0.496177370031	0.336734693878
'right middle frontal gyrus'	0.155963302752	0.632352941176	0.00259681741689	2	0.530581039755	0.456747404844
'left inferior frontal gyrus, pars	0.128440366972	0.692307692308	0.000710628110135	1	0.496177370031	0.336734693878
'right inferior frontal gyrus, pars	0.146788990826	0.741666666667	0.000804363828769	2	0.522935779817	0.46875
'left inferior frontal gyrus, pars	0.201834862385	0.619047619048	0.00304028147539	1	0.532874617737	0.165289256198
'right inferior frontal gyrus, pars	0.110091743119	0.712121212121	0.000603380684927	2	0.492354740061	0.152777777778
'left precentral gyrus'	0.321100917431	0.421848739496	0.044134259488	1	0.649847094801	0.566530612245
'right precentral gyrus'	0.366972477064	0.380769230769	0.0746103185663	2	0.678899082569	0.59125
'left temporal pole'	0.238532110092	0.507692307692	0.0119725058308	1	0.599388379205	0.505917159763
'right temporal pole'	0.321100917431	0.448739495798	0.0173950591586	2	0.634556574924	0.633469387755
'left superior temporal gyrus, anterior	0.128440366972	0.813186813187	0.000794351073022	1	0.512232415902	0.255102040816
'right superior temporal gyrus, anterior	0.0733944954128	0.928571428571	3,12E+05	2	0.437308868502	0.0
'left superior temporal gyrus, posterior	0.256880733945	0.537037037037	0.00800308106108	1	0.587155963303	0.252551020408
'right superior temporal gyrus, posterior	0.201834862385	0.580086580087	0.00505510008021	2	0.54128440367	0.235537190083
'left middle temporal gyrus, anterior	0.146788990826	0.725	0.0013774871256	1	0.519877675841	0.2265625
'right middle temporal gyrus, anterior	0.165137614679	0.562091503268	0.00484801460938	2	0.55504587156	0.611111111111
